Timestamp,,Year and Section:,Choose Subject:,"Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [How helpful do you find interactive activities during online classes for your learning?]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Does your Internet connection affect your participation during online classes?]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Do background noises significantly distract you during online classes?]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Do power interruptions significantly disrupt your ability to study effectively at home?]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Do you encounter technical difficulties(e.g.,internet connection,platform glitches))]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Have you noticed an increase in headaches or physical discomfort  realati]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Do you feel less connected or enraged with your classmates and instructors in online classes compared to traditional face-to-face classroom setting?]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Do you believe that you possess necessary skills to proficiently use digital tools and software essential for academic or professional tasks?]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Do you think that the absence of non-verbal cues(such as body language) in online classes affects the depth of undestanding between you and your instructors?]","Scenarios that affects your ability to perform your best during this academic term.(5 being Highest, 1 being Lowset.) [Do you feel that that methos used by the instructors in online classes encourage active engagement and partipation among students]",Email address
27/12/2023 14:41:04,,BSIT - 2A,ITEC 103 - Intermediate Programming,4,5,5,2,2,3,1,3,4,5,
27/12/2023 14:42:22,,BSIT - 2A,ITEP 101 - Human Computer Interaction 1,4,4,4,4,4,4,5,5,4,5,
27/12/2023 21:02:19,,BSIT - 2E,ITEC 103 - Intermediate Programming,3,3,4,3,3,3,4,2,4,2,
27/12/2023 21:17:46,,BSIT - 2E,ITEP 101 - Human Computer Interaction 1,4,4,4,4,3,4,4,4,4,4,
27/12/2023 21:17:47,,BSIT - 2E,ITEC 103 - Intermediate Programming,4,4,3,3,3,3,2,3,2,4,
27/12/2023 22:15:59,,BSIT - 2E,ITEC 103 - Intermediate Programming,3,5,4,4,5,3,4,4,3,4,
29/12/2023 10:54:53,,BSIT - 2A,ITEP 102 - Discrete Mathematics,3,4,4,4,4,4,4,4,4,4,
29/12/2023 15:31:42,,BSIT - 2B,ITEP 102 - Discrete Mathematics,4,5,5,4,1,1,3,4,5,4,
30/12/2023 21:51:33,,BSIT - 2A,ITEC 103 - Intermediate Programming,5,5,4,4,4,3,5,2,4,3,
30/12/2023 21:51:53,,BSIT - 2E,ITEC 103 - Intermediate Programming,5,4,5,4,4,3,4,2,4,4,
30/12/2023 21:52:20,,BSIT - 2B,ITEP 101 - Human Computer Interaction 1,5,4,5,4,5,4,5,5,5,4,
30/12/2023 21:52:39,,BSIT - 2D,ITEC 103 - Intermediate Programming,4,3,4,3,4,3,4,4,3,4,
30/12/2023 21:53:02,,BSIT - 2A,ITEC 103 - Intermediate Programming,5,4,5,4,5,3,5,3,5,5,
30/12/2023 22:05:10,,BSIT - 2A,ITEC 103 - Intermediate Programming,4,4,4,3,5,4,5,5,4,5,
30/12/2023 22:05:26,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,4,5,4,5,4,3,3,4,4,
30/12/2023 22:05:48,,BSIT - 2B,ITEP 102 - Discrete Mathematics,5,5,5,5,4,5,4,5,4,5,
30/12/2023 22:07:27,,BSIT - 2A,ITEC 103 - Intermediate Programming,1,1,1,1,1,1,1,1,1,1,
30/12/2023 22:12:48,,BSIT - 2B,ITEC 103 - Intermediate Programming,3,4,3,4,4,3,4,4,3,4,
30/12/2023 22:13:08,,BSIT - 2B,ITEP 102 - Discrete Mathematics,4,5,5,5,4,5,4,5,5,4,
,,,,,,,,,,,,,,
30/12/2023 22:13:23,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,4,5,4,5,4,5,3,4,3,
30/12/2023 22:20:48,,BSIT - 2B,ITEC 103 - Intermediate Programming,3,4,3,4,4,5,4,4,5,4,
30/12/2023 22:21:12,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,5,3,4,4,2,4,2,3,3,
30/12/2023 22:23:15,,BSIT - 2D,ITEC 103 - Intermediate Programming,2,3,4,1,3,1,1,3,3,3,
30/12/2023 22:23:22,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,5,4,5,4,5,4,4,3,3,
30/12/2023 22:23:36,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,4,5,4,5,3,4,4,4,3,
30/12/2023 22:23:51,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,5,4,5,4,5,4,5,4,3,
30/12/2023 22:24:06,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,3,5,4,5,4,4,4,3,3,
30/12/2023 22:24:27,,BSIT - 2B,ITEP 102 - Discrete Mathematics,4,3,4,3,4,4,4,3,4,3,
30/12/2023 22:24:49,,BSIT - 2B,ITEP 102 - Discrete Mathematics,5,4,5,4,4,4,5,4,4,3,
30/12/2023 22:25:03,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,3,4,3,4,3,4,3,4,2,
30/12/2023 22:25:20,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,3,4,5,5,3,3,4,3,3,
30/12/2023 22:25:36,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,4,4,3,4,3,4,3,4,2,
30/12/2023 22:26:16,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,5,4,3,4,5,4,5,4,2,
30/12/2023 22:26:34,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,4,5,4,4,4,3,4,3,1,
30/12/2023 22:26:51,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,4,5,4,3,4,3,4,3,4,
30/12/2023 22:27:59,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,4,4,4,5,3,4,3,3,2,
30/12/2023 22:29:51,,BSIT - 2C,ITEC 103 - Intermediate Programming,4,5,4,3,3,4,3,3,4,1,
30/12/2023 22:30:17,,BSIT - 2C,ITEP 101 - Human Computer Interaction 1,3,4,2,4,2,4,3,3,4,1,
30/12/2023 22:31:42,,BSIT - 2C,ITEP 101 - Human Computer Interaction 1,4,3,4,3,4,3,4,4,4,1,
30/12/2023 22:32:05,,BSIT - 2C,ITEC 103 - Intermediate Programming,5,4,5,4,3,4,3,4,4,1,
30/12/2023 22:37:12,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,5,4,3,4,3,3,3,4,2,
30/12/2023 22:37:32,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,4,4,3,4,5,3,4,3,3,
30/12/2023 22:37:54,,BSIT - 2B,ITEP 101 - Human Computer Interaction 1,5,4,5,3,4,3,4,3,4,3,
30/12/2023 22:38:57,,BSIT - 2B,ITEP 102 - Discrete Mathematics,3,4,3,4,3,4,4,4,3,3,
30/12/2023 22:39:12,,BSIT - 2E,ITEC 103 - Intermediate Programming,4,5,4,4,3,3,5,4,3,3,
30/12/2023 22:39:17,,BSIT - 2B,ITEC 103 - Intermediate Programming,4,3,4,4,5,4,5,4,4,3,
30/12/2023 22:40:40,,BSIT - 2B,ITEP 101 - Human Computer Interaction 1,4,5,4,4,4,3,4,5,3,3,
30/12/2023 22:40:52,,BSIT - 2E,ITEP 102 - Discrete Mathematics,5,5,5,4,4,4,5,4,2,3,
30/12/2023 22:40:55,,BSIT - 2B,ITEC 103 - Intermediate Programming,5,5,4,5,4,4,4,3,4,3,
30/12/2023 22:41:30,,BSIT - 2C,ITEP 102 - Discrete Mathematics,3,4,2,2,2,2,3,2,3,2,
30/12/2023 22:41:56,,BSIT - 2C,ITEP 101 - Human Computer Interaction 1,3,3,4,3,2,1,3,4,2,2,
30/12/2023 22:42:03,,BSIT - 2E,ITEP 102 - Discrete Mathematics,4,5,5,4,5,4,5,4,4,4,
30/12/2023 22:42:33,,BSIT - 2C,ITEP 102 - Discrete Mathematics,4,3,4,3,4,2,2,3,2,2,
30/12/2023 22:42:58,,BSIT - 2C,ITEP 102 - Discrete Mathematics,4,4,4,3,4,3,4,3,3,1,
30/12/2023 22:43:11,,BSIT - 2E,"PI 100 - Life,Works and Writings of Rizal",5,5,3,4,3,4,4,5,3,5,
30/12/2023 22:45:55,,BSIT - 2C,ITEC 103 - Intermediate Programming,4,4,4,5,4,5,3,3,2,2,
30/12/2023 22:46:02,,BSIT - 2E,ITEP 101 - Human Computer Interaction 1,4,5,4,3,3,4,5,5,5,4,
30/12/2023 22:46:15,,BSIT - 2C,ITEC 103 - Intermediate Programming,5,4,5,4,3,3,3,3,3,2,
30/12/2023 22:46:36,,BSIT - 2C,ITEP 102 - Discrete Mathematics,4,4,3,2,3,4,3,3,2,2,
30/12/2023 22:47:05,,BSIT - 2E,GEC 105 - Purposive Communication,5,4,3,4,5,4,5,4,5,5,
30/12/2023 22:47:14,,BSIT - 2C,ITEP 101 - Human Computer Interaction 1,4,4,3,4,3,4,3,2,3,2,
30/12/2023 22:47:55,,BSIT - 2E,NSTP 2 - ROTC 2/CWTS 2/ LTS 2,5,4,4,5,5,5,4,3,5,4,
30/12/2023 22:47:58,,BSIT - 2C,ITEP 102 - Discrete Mathematics,3,4,3,4,2,3,2,3,2,1,
30/12/2023 22:48:37,,BSIT - 2E,ITEC 103 - Intermediate Programming,4,4,3,4,4,3,5,4,4,5,
30/12/2023 22:49:16,,BSIT - 2E,GEC 106 - Art Appreciation,5,4,4,4,4,3,5,4,4,5,
30/12/2023 22:49:22,,BSIT - 2C,ITEC 103 - Intermediate Programming,3,2,4,2,3,2,2,3,2,3,
30/12/2023 22:49:59,,BSIT - 2E,"PI 100 - Life,Works and Writings of Rizal",4,5,4,4,4,3,4,4,5,5,
30/12/2023 22:50:41,,BSIT - 2C,ITEC 103 - Intermediate Programming,2,3,3,2,3,2,3,2,2,2,
30/12/2023 22:50:44,,BSIT - 2C,ITEC 103 - Intermediate Programming,4,3,4,3,5,5,4,4,4,4,
30/12/2023 22:50:55,,BSIT - 2E,ITEP 102 - Discrete Mathematics,4,4,3,5,4,5,4,4,4,4,
30/12/2023 22:50:57,,BSIT - 2C,ITEC 103 - Intermediate Programming,2,4,2,3,3,4,4,4,4,3,
30/12/2023 22:51:46,,BSIT - 2E,"PI 100 - Life,Works and Writings of Rizal",5,4,5,4,3,4,5,5,4,4,
30/12/2023 22:52:11,,BSIT - 2C,ITEC 103 - Intermediate Programming,1,3,4,3,2,4,2,4,2,2,
30/12/2023 22:52:25,,BSIT - 2C,ITEC 103 - Intermediate Programming,3,2,1,3,2,2,3,2,2,1,
30/12/2023 22:52:45,,BSIT - 2C,ITEC 103 - Intermediate Programming,1,3,2,3,2,1,2,4,3,2,
30/12/2023 22:56:03,,BSIT - 2C,ITEC 103 - Intermediate Programming,4,2,4,4,3,3,2,3,4,2,
30/12/2023 22:56:21,,BSIT - 2C,ITEP 101 - Human Computer Interaction 1,4,3,4,2,3,2,3,2,3,2,
30/12/2023 22:58:07,,BSIT - 2C,ITEC 103 - Intermediate Programming,4,3,4,3,2,2,2,2,3,2,
30/12/2023 22:58:25,,BSIT - 2C,ITEC 103 - Intermediate Programming,3,2,3,2,3,1,3,1,2,1,
30/12/2023 22:59:14,,BSIT - 2C,ITEC 103 - Intermediate Programming,4,3,4,2,3,3,2,3,2,3,
30/12/2023 22:59:36,,BSIT - 2C,ITEC 103 - Intermediate Programming,1,4,2,3,2,3,4,2,2,1,
30/12/2023 22:59:52,,BSIT - 2C,ITEP 102 - Discrete Mathematics,1,4,2,1,2,2,2,1,2,3,
30/12/2023 23:00:11,,BSIT - 2C,ITEP 101 - Human Computer Interaction 1,3,2,3,2,3,2,3,2,2,1,
30/12/2023 23:00:35,,BSIT - 2C,ITEC 103 - Intermediate Programming,1,3,2,4,2,1,2,3,1,1,
30/12/2023 23:00:50,,BSIT - 2C,ITEC 103 - Intermediate Programming,2,1,3,2,3,2,3,2,2,1,
30/12/2023 23:01:05,,BSIT - 2C,ITEC 103 - Intermediate Programming,2,3,2,3,2,3,3,2,3,1,
30/12/2023 23:02:48,,BSIT - 2E,FILDIS - Filipino sa iba't ibang Disiplina,4,4,5,3,4,5,4,3,4,5,
30/12/2023 23:03:23,,BSIT - 2E,ITEP 101 - Human Computer Interaction 1,5,4,4,3,5,4,5,5,4,4,
30/12/2023 23:04:00,,BSIT - 2E,ITEC 103 - Intermediate Programming,5,4,4,5,5,4,5,4,5,5,
30/12/2023 23:04:34,,BSIT - 2E,"PI 100 - Life,Works and Writings of Rizal",5,5,4,5,4,4,4,3,5,3,
30/12/2023 23:05:02,,BSIT - 2E,GEC 105 - Purposive Communication,5,4,5,4,3,4,5,4,4,5,
31/12/2023 00:59:19,,BSIT - 2D,ITEC 103 - Intermediate Programming,2,4,5,5,4,4,4,3,3,3,
31/12/2023 21:40:38,,BSIT - 2D,ITEC 103 - Intermediate Programming,3,2,4,2,3,3,4,3,2,2,
31/12/2023 21:40:53,,BSIT - 2D,ITEC 103 - Intermediate Programming,2,4,4,4,4,4,3,2,3,3,
31/12/2023 21:41:08,,BSIT - 2D,ITEC 103 - Intermediate Programming,4,4,5,4,5,4,4,4,4,3,
31/12/2023 21:41:22,,BSIT - 2D,ITEC 103 - Intermediate Programming,3,4,3,4,3,3,4,3,2,2,
31/12/2023 21:41:38,,BSIT - 2D,ITEC 103 - Intermediate Programming,2,3,2,4,4,5,5,5,5,2,
31/12/2023 21:42:15,,BSIT - 2D,ITEP 101 - Human Computer Interaction 1,3,4,3,4,3,4,4,3,4,3,
31/12/2023 21:42:30,,BSIT - 2D,ITEP 102 - Discrete Mathematics,1,1,2,2,3,2,3,4,4,2,
31/12/2023 21:42:51,,BSIT - 2D,ITEP 101 - Human Computer Interaction 1,3,4,4,3,3,2,3,4,2,2,
31/12/2023 21:43:14,,BSIT - 2D,ITEP 102 - Discrete Mathematics,3,3,4,3,4,1,5,3,2,1,
31/12/2023 21:43:38,,BSIT - 2D,ITEP 101 - Human Computer Interaction 1,2,3,2,4,4,1,2,3,2,2,
31/12/2023 21:44:13,,BSIT - 2D,ITEP 101 - Human Computer Interaction 1,1,2,3,3,3,2,2,3,2,2,
31/12/2023 21:44:42,,BSIT - 2D,ITEC 103 - Intermediate Programming,2,3,3,4,2,2,3,4,3,3,
31/12/2023 21:44:57,,BSIT - 2D,ITEC 103 - Intermediate Programming,1,3,1,2,2,3,1,4,2,2,
31/12/2023 21:45:30,,BSIT - 2D,ITEC 103 - Intermediate Programming,2,3,2,2,3,3,2,3,3,2,
31/12/2023 21:45:58,,BSIT - 2D,ITEC 103 - Intermediate Programming,2,3,2,4,4,3,3,2,4,2,
31/12/2023 21:46:22,,BSIT - 2D,ITEC 103 - Intermediate Programming,1,2,4,2,3,3,2,3,2,3,
31/12/2023 21:47:08,,BSIT - 2D,ITEC 103 - Intermediate Programming,2,3,2,3,4,2,4,2,2,3,
